Cause,Fire-Start-Date,Initial-Report-Date,Fire-Out-Date,Region,Zone,County,Municipality,NFFL-Fuel-Model,Complex-Type,Acreage,Latitude,Longitude,Ownership,Reporting-Ranger,Fire-Report-Method,New-York-Zip-Codes,Counties,NYS-Municipal-Boundaries,duration,oil,year,month,day
Equipment,04/15/2008,04/15/2008,04/15/2008,7,7A,Broome,SANFORD, 1 - Grass - Light,5.0,11.4,42.09781,-75.43599,Private Property,"Oldroyd,Jeremy M",911 Dispatch,384.0,2033.0,940.0,0.0,1,2008,04,15
Debris Burning,04/15/2008,04/15/2008,04/15/2008,7,7A,Chenango,GUILFORD, 1 - Grass - Light,5.0,7.0,42.39875,-75.46461,Private Property,"Oldroyd,Jeremy M",911 Dispatch,1628.0,2037.0,269.0,0.0,1,2008,04,15
Prescribed Fire,04/15/2008,04/15/2008,04/16/2008,1,1A,Suffolk,BROOKHAVEN, 3 - Grass - Heavy,4.0,3.8,40.78199,-72.88954,Other Government,"Gallagher,Bryan ",Ranger Patrol,1671.0,2179.0,1022.0,1.0,3,2008,04,15
Debris Burning,04/15/2008,04/15/2008,04/15/2008,9,9A,Allegany,ALLEN, 8 - Timber - Light Hardwood Litter,5.0,8.0,42.40801,-77.96034,Private Property,"Thaine,Justin T",911 Dispatch,1691.0,2031.0,473.0,0.0,8,2008,04,15
Lightning,04/15/2008,04/15/2008,04/16/2008,5,5D,Fulton,JOHNSTOWN, 9 - Timber - Medium Hardwood Litter,5.0,3.0,43.0471,-74.40559,State Forest/RF Area,"Kallen,David A",911 Dispatch,1227.0,2085.0,383.0,1.0,9,2008,04,15
Debris Burning,04/15/2008,04/15/2008,04/16/2008,7,7A,Chenango,AFTON, 8 - Timber - Light Hardwood Litter,5.0,11.3,42.22268,-75.50429,Private Property,"Oldroyd,Jeremy M",911 Dispatch,1625.0,2037.0,275.0,1.0,8,2008,04,15
Debris Burning,04/15/2008,04/17/2008,04/17/2008,8,8A,Steuben,FREMONT, 9 - Timber - Medium Hardwood Litter,5.0,0.2,42.39685,-77.64312,Private Property,"Farrand,Anne M",911 Dispatch,1754.0,2178.0,35.0,2.0,9,2008,04,15
Prescribed Fire,04/15/2008,04/15/2008,04/15/2008,3,3B,Dutchess,DOVER, 3 - Grass - Heavy,5.0,8.6,41.73852,-73.57947,Private Property,"Tyrrell,Gregory ",Other,966.0,2040.0,598.0,0.0,3,2008,04,15
Power line,04/16/2008,04/16/2008,04/17/2008,3,3B,Ulster,PLATTEKILL, 9 - Timber - Medium Hardwood Litter,4.0,15.0,41.61077,-74.03539,Other Government,"Slingerland,David ",911 Dispatch,1017.0,2182.0,414.0,1.0,9,2008,04,16
Debris Burning,04/16/2008,04/16/2008,04/16/2008,5,5D,Fulton,BROADALBIN, 1 - Grass - Light,5.0,0.2,43.06262,-74.11146,Private Property,"Kallen,David A",Ranger Patrol,1152.0,2085.0,388.0,0.0,1,2008,04,16
Equipment,04/16/2008,04/16/2008,04/16/2008,7,7A,Broome,MAINE, 8 - Timber - Light Hardwood Litter,5.0,3.7,42.22297,-75.97686999999998,Private Property,"Oldroyd,Jeremy M",911 Dispatch,479.0,2033.0,942.0,0.0,8,2008,04,16
Incendiary,04/16/2008,04/16/2008,04/22/2008,8,8A,Steuben,HORNELLSVILLE, 9 - Timber - Medium Hardwood Litter,4.0,11.4,42.3624,-77.65549,Private Property,"Farrand,Anne M",911 Dispatch,1782.0,2178.0,31.0,6.0,9,2008,04,16
Prescribed Fire,04/16/2008,04/16/2008,04/16/2008,1,1A,Suffolk,BROOKHAVEN, 1 - Grass - Light,4.0,80.6,40.90341,-72.92848000000002,Wildlife Management Area,"Gallagher,Bryan ",Ranger Patrol,1636.0,2179.0,1022.0,0.0,1,2008,04,16
Debris Burning,04/16/2008,04/16/2008,04/16/2008,8,8A,Steuben,HORNBY, 8 - Timber - Light Hardwood Litter,5.0,1.0,42.21115,-77.0544,Private Property,"Meehan,William X",911 Dispatch,1774.0,2178.0,49.0,0.0,8,2008,04,16
Railroad,04/16/2008,04/16/2008,04/17/2008,4,4A,Albany,BETHLEHEM, 7 - Brush - Understory,4.0,5.8,42.5651,-73.77813,Private Property,"Henry,William ",Landowner,1405.0,2030.0,837.0,1.0,7,2008,04,16
Miscellaneous,04/16/2008,04/16/2008,04/16/2008,9,9A,Allegany,CLARKSVILLE, 8 - Timber - Light Hardwood Litter,4.0,4.0,42.15,-78.25433000000002,Private Property,"Thaine,Justin T",911 Dispatch,1707.0,2031.0,461.0,0.0,8,2008,04,16
Debris Burning,04/17/2008,04/17/2008,04/18/2008,6,6B,Lewis,NEW BREMEN, 2 - Grass - Understory,5.0,0.5,43.83511,-75.29823,Private Property,"Evans,Luke ",911 Dispatch,571.0,623.0,615.0,1.0,2,2008,04,17
Miscellaneous,04/17/2008,04/17/2008,04/17/2008,9,9A,Cattaraugus,HINSDALE, 1 - Grass - Light,5.0,1.8,42.16352,-78.33904,Private Property,"Rogers,Robert C",911 Dispatch,1721.0,2034.0,359.0,0.0,1,2008,04,17
Debris Burning,04/17/2008,04/17/2008,04/17/2008,7,7A,Chenango,AFTON, 1 - Grass - Light,5.0,1.5,42.22636,-75.62361,Private Property,"Oldroyd,Jeremy M",911 Dispatch,399.0,2037.0,275.0,0.0,1,2008,04,17
Equipment,04/17/2008,04/17/2008,04/17/2008,3,3B,Ulster,WAWARSING, 9 - Timber - Medium Hardwood Litter,5.0,1.0,41.75745,-74.42621,Private Property,"Geesler,Sarah B",911 Dispatch,252.0,2182.0,407.0,0.0,9,2008,04,17
Debris Burning,04/17/2008,04/17/2008,04/18/2008,4,4A,Albany,RENSSELAERVILLE, 9 - Timber - Medium Hardwood Litter,4.0,46.7,42.4877,-74.13807,Private Property,"Glesmann,Karen ",911 Dispatch,1310.0,2030.0,829.0,1.0,9,2008,04,17
Debris Burning,04/16/2008,04/16/2008,04/16/2008,5,5C,Essex,KEENE, 1 - Grass - Light,5.0,6.0,44.2041,-73.78413,Private Property,"Platt,Charles ",911 Dispatch,272.0,2084.0,442.0,0.0,1,2008,04,16
Debris Burning,04/17/2008,04/17/2008,04/17/2008,7,7A,Chenango,OTSELIC, 5 - Brush - Continuous but Light,4.0,1.0,42.70596,-75.74619,Private Property,"Prunoske,James ",911 Dispatch,625.0,2037.0,262.0,0.0,5,2008,04,17
Debris Burning,04/17/2008,04/17/2008,04/17/2008,4,4B,Schoharie,CARLISLE, 1 - Grass - Light,4.0,0.9,42.7238,-74.42277,Private Property,"Dent,Thomas I",911 Dispatch,1173.0,629.0,170.0,0.0,1,2008,04,17
Debris Burning,04/17/2008,04/17/2008,04/17/2008,4,4B,Delaware,ROXBURY, 8 - Timber - Light Hardwood Litter,4.0,3.5,42.25562,-74.02468,Private Property,"Bink,Joseph L",911 Dispatch,265.0,2087.0,761.0,0.0,8,2008,04,17
Equipment,04/17/2008,04/17/2008,04/17/2008,3,3A,Sullivan,TUSTEN, 1 - Grass - Light,5.0,3.5,41.53646,-75.02141,Private Property,"Seeley,Jason J",Landowner,1084.0,2180.0,649.0,0.0,1,2008,04,17
Debris Burning,04/09/2008,04/09/2008,04/09/2008,8,8A,Steuben,URBANA, 8 - Timber - Light Hardwood Litter,5.0,3.2,42.3806,-77.28628,Private Property,"Carpenter,Timothy J",911 Dispatch,1757.0,2178.0,21.0,0.0,8,2008,04,09
Debris Burning,04/17/2008,04/17/2008,04/17/2008,8,8A,Steuben,COHOCTON, 8 - Timber - Light Hardwood Litter,5.0,0.5,42.45084,-77.48978000000002,Private Property,"Farrand,Anne M",911 Dispatch,1756.0,2178.0,40.0,0.0,8,2008,04,17
Debris Burning,04/17/2008,04/17/2008,04/18/2008,9,9A,Allegany,AMITY, 9 - Timber - Medium Hardwood Litter,4.0,4.0,42.21637,-77.98818,Private Property,"Thaine,Justin T",911 Dispatch,1759.0,2031.0,470.0,1.0,9,2008,04,17
Miscellaneous,04/17/2008,04/17/2008,04/17/2008,9,9A,Cattaraugus,YORKSHIRE, 3 - Grass - Heavy,5.0,0.1,42.48565,-78.50918,Private Property,"Carpenter,Timothy J",Ranger Patrol,505.0,2034.0,374.0,0.0,3,2008,04,17
Prescribed Fire,04/17/2008,04/17/2008,04/17/2008,7,7A,Chenango,GERMAN, 8 - Timber - Light Hardwood Litter,4.0,4.0,42.45524,-75.81390999999998,Private Property,"Prunoske,James ",911 Dispatch,434.0,2037.0,271.0,0.0,8,2008,04,17
Debris Burning,04/17/2008,04/17/2008,04/18/2008,8,8A,Yates,ITALY, 8 - Timber - Light Hardwood Litter,4.0,4.3,42.57632,-77.3535,Private Property,"Dormer,Patrick G",911 Dispatch,59.0,2178.0,27.0,1.0,8,2008,04,17
Smoking,04/17/2008,04/17/2008,04/29/2008,3,3B,Ulster,ROCHESTER,10 - Timber  - Heavy Litter/Downed Fuels,2.0,2855.0,41.74686,-74.26252,OPR&HP (State Parks),"Tyrrell,Gregory ",911 Dispatch,195.0,2182.0,413.0,12.0,1,2008,04,17
Incendiary,04/17/2008,04/17/2008,04/22/2008,5,5F,Washington,HEBRON, 8 - Timber - Light Hardwood Litter,4.0,18.4,43.23385,-73.36513000000002,Private Property,"Bodnar,Michael J",DEC Dispatch,146.0,2184.0,721.0,5.0,8,2008,04,17
Equipment,04/18/2008,04/18/2008,04/18/2008,3,3B,Dutchess,UNION VALE, 1 - Grass - Light,1.0,0.1,41.72495,-73.73302,Other Not Classified,"Dominesey,Megan M",Fire Department,1015.0,2040.0,605.0,0.0,1,2008,04,18
Debris Burning,04/18/2008,04/18/2008,04/18/2008,8,8A,Chemung,CATLIN, 9 - Timber - Medium Hardwood Litter,5.0,7.1,42.26319,-76.95427,Private Property,"Meehan,William X",911 Dispatch,1758.0,2036.0,487.0,0.0,9,2008,04,18
Debris Burning,04/18/2008,04/18/2008,04/19/2008,6,6B,Lewis,LYONSDALE, 8 - Timber - Light Hardwood Litter,4.0,0.5,43.60688,-75.16643,Private Property,"Scanlon,John ",911 Dispatch,1285.0,623.0,618.0,1.0,8,2008,04,18
Incendiary,04/18/2008,04/18/2008,04/18/2008,1,1A,Suffolk,BABYLON, 8 - Timber - Light Hardwood Litter,4.0,0.2,40.76797,-73.30386,Unique Area,"Thompson,Michael W",Supervisor,1110.0,2179.0,1023.0,0.0,8,2008,04,18
Miscellaneous,04/16/2008,04/18/2008,04/18/2008,7,7A,Onondaga,POMPEY, 1 - Grass - Light,3.0,29.0,42.9471,-76.05934,Private Property,"McPherson,James ",Other,630.0,2132.0,698.0,2.0,1,2008,04,16
Debris Burning,04/19/2008,04/19/2008,04/28/2008,5,5F,Washington,WHITE CREEK, 9 - Timber - Medium Hardwood Litter,4.0,55.0,43.0251,-73.2988,Private Property,"Bodnar,Michael J",911 Dispatch,803.0,2184.0,716.0,9.0,9,2008,04,19
Debris Burning,04/19/2008,04/19/2008,04/19/2008,6,6B,Lewis,MARTINSBURG, 1 - Grass - Light,5.0,0.2,43.76205,-75.51869,Private Property,"Snyder,Jennifer M",DEC Dispatch,571.0,623.0,617.0,0.0,1,2008,04,19
Debris Burning,04/19/2008,04/19/2008,04/25/2008,8,8A,Steuben,CAMERON, 9 - Timber - Medium Hardwood Litter,4.0,32.5,42.22999,-77.4257,Private Property,"Farrand,Anne M",911 Dispatch,1765.0,2178.0,44.0,6.0,9,2008,04,19
Debris Burning,04/19/2008,04/19/2008,04/20/2008,5,5C,Essex,KEENE, 8 - Timber - Light Hardwood Litter,5.0,4.0,44.05972,-73.78204000000002,Private Property,"Giglinto,James ",Ranger Patrol,136.0,2084.0,429.0,1.0,8,2008,04,19
Debris Burning,04/19/2008,04/19/2008,04/19/2008,7,7A,Tompkins,ITHACA, 8 - Timber - Light Hardwood Litter,4.0,1.6,42.42556,-76.5499,Private Property,"Oldroyd,Jeremy M",911 Dispatch,1786.0,2181.0,708.0,0.0,8,2008,04,19
Debris Burning,04/19/2008,04/19/2008,04/20/2008,3,3B,Sullivan,MAMAKATING, 2 - Grass - Understory,4.0,14.8,41.5764,-74.45658,Private Property,"Murphy,Scott ",DEC Dispatch,1037.0,2180.0,653.0,1.0,2,2008,04,19
Debris Burning,04/19/2008,04/19/2008,04/19/2008,8,8A,Chemung,HORSEHEADS, 8 - Timber - Light Hardwood Litter,5.0,7.5,42.17794,-76.79268,Private Property,"Meehan,William X",911 Dispatch,1783.0,2036.0,478.0,0.0,8,2008,04,19
Children,04/19/2008,04/19/2008,04/19/2008,5,5C,Saratoga,HALFMOON, 6 - Brush - Mixed/Regeneration,5.0,9.0,42.86858,-73.72295,Private Property,"Seifts,John ",911 Dispatch,1292.0,2141.0,1002.0,0.0,6,2008,04,19
Debris Burning,04/19/2008,04/19/2008,04/19/2008,9,9A,Cattaraugus,NEW ALBION, 8 - Timber - Light Hardwood Litter,5.0,1.8,42.33228,-78.83565,Private Property,"Flanagan,Martin T",Landowner,1700.0,2034.0,350.0,0.0,8,2008,04,19
Debris Burning,04/19/2008,04/19/2008,04/19/2008,9,9A,Allegany,ANGELICA, 6 - Brush - Mixed/Regeneration,4.0,19.0,42.26711,-77.99494,Private Property,"Thaine,Justin T",911 Dispatch,1759.0,2031.0,468.0,0.0,6,2008,04,19
Debris Burning,04/19/2008,04/19/2008,04/19/2008,6,6B,Lewis,CROGHAN, 1 - Grass - Light,5.0,0.2,43.91376,-75.36392,Private Property,"Scanlon,John ",911 Dispatch,541.0,623.0,609.0,0.0,1,2008,04,19
Debris Burning,04/19/2008,04/19/2008,04/19/2008,6,6B,Lewis,GREIG, 9 - Timber - Medium Hardwood Litter,4.0,0.3,43.68312,-75.29166,Private Property,"Scanlon,John ",911 Dispatch,769.0,623.0,623.0,0.0,9,2008,04,19
Debris Burning,04/19/2008,04/19/2008,04/20/2008,6,6B,Lewis,WATSON, 9 - Timber - Medium Hardwood Litter,4.0,0.9,43.78411,-75.35441999999998,Private Property,"Scanlon,John ",911 Dispatch,555.0,623.0,611.0,1.0,9,2008,04,19
Debris Burning,04/19/2008,04/19/2008,04/19/2008,6,6B,Lewis,CROGHAN, 2 - Grass - Understory,5.0,1.0,43.95606,-75.54649,Private Property,"Snyder,Jennifer M",Sheriff,1480.0,623.0,609.0,0.0,2,2008,04,19
Campfire,04/19/2008,04/19/2008,04/20/2008,8,8A,Steuben,PRATTSBURGH, 9 - Timber - Medium Hardwood Litter,4.0,7.1,42.53802,-77.3678,Private Property,"Dormer,Patrick G",911 Dispatch,59.0,2178.0,27.0,1.0,9,2008,04,19
Debris Burning,04/19/2008,04/19/2008,04/20/2008,8,8A,Ontario,NAPLES, 8 - Timber - Light Hardwood Litter,4.0,4.2,42.59156,-77.3906,Private Property,"Dormer,Patrick G",911 Dispatch,323.0,2133.0,804.0,1.0,8,2008,04,19
Debris Burning,04/20/2008,04/20/2008,04/20/2008,5,5F,Washington,ARGYLE, 9 - Timber - Medium Hardwood Litter,5.0,1.0,43.28134,-73.44244,Private Property,"Laczko,Jaime ",911 Dispatch,787.0,2184.0,731.0,0.0,9,2008,04,20
Debris Burning,04/20/2008,04/20/2008,04/20/2008,7,7A,Chenango,AFTON, 9 - Timber - Medium Hardwood Litter,4.0,7.0,42.20173,-75.45123000000002,State Forest/RF Area,"Oldroyd,Jeremy M",911 Dispatch,1625.0,2037.0,275.0,0.0,9,2008,04,20
Smoking,04/20/2008,04/20/2008,04/28/2008,7,7A,Oswego,WILLIAMSTOWN, 9 - Timber - Medium Hardwood Litter,5.0,30.2,43.4695,-75.96191,Other Government,"Jackson,Scott ",911 Dispatch,762.0,2135.0,229.0,8.0,9,2008,04,20
Debris Burning,04/20/2008,04/20/2008,04/20/2008,8,8A,Steuben,THURSTON, 8 - Timber - Light Hardwood Litter,5.0,3.0,42.19783,-77.23644,Private Property,"Farrand,Anne M",911 Dispatch,1767.0,2178.0,24.0,0.0,8,2008,04,20
Debris Burning,04/20/2008,04/20/2008,04/20/2008,6,6C,Herkimer,GERMAN FLATTS, 8 - Timber - Light Hardwood Litter,2.0,8.0,43.00087,-75.03466,Private Property,"Piersma,Robert J",911 Dispatch,564.0,2088.0,680.0,0.0,8,2008,04,20
Miscellaneous,04/20/2008,04/20/2008,04/30/2008,5,5F,Saratoga,PROVIDENCE, 8 - Timber - Light Hardwood Litter,4.0,17.7,43.08481,-74.05688,Private Property,"Goetke,Anthony G",911 Dispatch,1222.0,2141.0,996.0,10.0,8,2008,04,20
Debris Burning,04/19/2008,04/19/2008,04/19/2008,6,6B,Lewis,MARTINSBURG, 5 - Brush - Continuous but Light,4.0,0.4,43.73903,-75.46789,Private Property,"Scanlon,John ",911 Dispatch,575.0,623.0,617.0,0.0,5,2008,04,19
Debris Burning,04/17/2008,04/17/2008,04/17/2008,4,4B,Schoharie,BROOME, 1 - Grass - Light,5.0,1.0,42.51717,-74.2568,Private Property,"Henry,William ",911 Dispatch,1295.0,629.0,171.0,0.0,1,2008,04,17
Miscellaneous,04/21/2008,04/21/2008,04/23/2008,5,5B,Essex,WILLSBORO, 3 - Grass - Heavy,5.0,1.0,44.3838,-73.45249,Private Property,"Praczkajlo,Robert ",911 Dispatch,339.0,2084.0,418.0,2.0,3,2008,04,21
Debris Burning,04/21/2008,04/21/2008,04/21/2008,5,5F,Washington,WHITEHALL, 8 - Timber - Light Hardwood Litter,5.0,1.2,43.5462,-73.32587,Private Property,"Laczko,Jaime ",911 Dispatch,201.0,2184.0,715.0,0.0,8,2008,04,21
Miscellaneous,04/21/2008,04/23/2008,04/23/2008,5,5F,Washington,GREENWICH, 1 - Grass - Light,5.0,0.5,43.155,-73.572,Private Property,"Bodnar,Michael J",911 Dispatch,96.0,2184.0,724.0,2.0,1,2008,04,21
Debris Burning,04/22/2008,04/22/2008,04/22/2008,9,9A,Cattaraugus,NAPOLI, 9 - Timber - Medium Hardwood Litter,4.0,0.6,42.24309,-78.85373,Private Property,"Rogers,Robert C",911 Dispatch,1729.0,2034.0,351.0,0.0,9,2008,04,22
Debris Burning,04/22/2008,04/22/2008,04/23/2008,9,9A,Cattaraugus,ISCHUA, 8 - Timber - Light Hardwood Litter,5.0,1.1,42.21913,-78.33012,Private Property,"Krulish,Wayne ",911 Dispatch,1707.0,2034.0,357.0,1.0,8,2008,04,22
Debris Burning,04/22/2008,04/22/2008,04/23/2008,5,5F,Washington,GRANVILLE, 8 - Timber - Light Hardwood Litter,4.0,1.5,43.41745,-73.31963,Private Property,"Schwab,Werner J",911 Dispatch,94.0,2184.0,725.0,1.0,8,2008,04,22
Equipment,04/22/2008,04/22/2008,04/29/2008,8,8A,Ontario,NAPLES, 9 - Timber - Medium Hardwood Litter,4.0,40.0,42.59094,-77.47504,Private Property,"Dormer,Patrick G",911 Dispatch,323.0,2133.0,804.0,7.0,9,2008,04,22
Debris Burning,04/22/2008,04/22/2008,04/23/2008,5,5F,Washington,JACKSON, 8 - Timber - Light Hardwood Litter,4.0,1.0,43.07065,-73.31206,Private Property,"Bodnar,Michael J",911 Dispatch,803.0,2184.0,720.0,1.0,8,2008,04,22
Debris Burning,04/19/2008,04/23/2008,04/19/2008,9,9A,Chautauqua,BUSTI, 5 - Brush - Continuous but Light,5.0,2.8,42.02263,-79.36703,State Forest/RF Area,"Pachan,David L",Sheriff,1687.0,2035.0,224.0,0.0,5,2008,04,19
Debris Burning,04/23/2008,04/23/2008,04/23/2008,4,4B,Delaware,MIDDLETOWN, 8 - Timber - Light Hardwood Litter,5.0,0.2,42.16171,-74.56877,Private Property,"Bink,Joseph L",911 Dispatch,124.0,2039.0,560.0,0.0,8,2008,04,23
Debris Burning,04/23/2008,04/23/2008,04/29/2008,3,3B,Dutchess,AMENIA, 9 - Timber - Medium Hardwood Litter,4.0,2.0,41.77179,-73.51751999999998,Private Property,"Deslauriers,Jacob P",911 Dispatch,1019.0,2040.0,602.0,6.0,9,2008,04,23
Incendiary,04/23/2008,04/23/2008,04/24/2008,1,1A,Suffolk,ISLIP, 7 - Brush - Understory,4.0,1.0,40.78811,-73.2904,Unique Area,"Slade,Kevin M",DEC Dispatch,1074.0,2179.0,1019.0,1.0,7,2008,04,23
Debris Burning,04/24/2008,04/24/2008,04/25/2008,9,9A,Cattaraugus,GREAT VALLEY, 6 - Brush - Mixed/Regeneration,5.0,0.2,42.19168,-78.60632,Private Property,"Rogers,Robert C",911 Dispatch,1719.0,2034.0,360.0,1.0,6,2008,04,24
Debris Burning,04/24/2008,04/28/2008,04/24/2008,9,9A,Allegany,ANGELICA, 9 - Timber - Medium Hardwood Litter,4.0,0.3,42.27087,-77.9755,Private Property,"Thaine,Justin T",911 Dispatch,1759.0,2031.0,468.0,0.0,9,2008,04,24
Miscellaneous,04/24/2008,04/24/2008,04/28/2008,5,5A,Hamilton,LONG LAKE, 8 - Timber - Light Hardwood Litter,5.0,1.0,43.97878,-74.42514,Private Property,"Waters,James ",DEC Dispatch,130.0,622.0,864.0,4.0,8,2008,04,24
Debris Burning,04/24/2008,04/24/2008,04/24/2008,6,6C,Herkimer,MANHEIM, 1 - Grass - Light,5.0,0.4,43.02092,-74.76579,Private Property,"Piersma,Robert J",DEC Dispatch,570.0,2088.0,675.0,0.0,1,2008,04,24
Debris Burning,04/24/2008,04/24/2008,04/24/2008,9,9A,Allegany,AMITY, 8 - Timber - Light Hardwood Litter,5.0,0.1,42.25405,-78.0732,Private Property,"Thaine,Justin T",911 Dispatch,1759.0,2031.0,470.0,0.0,8,2008,04,24
Debris Burning,04/24/2008,04/24/2008,04/24/2008,3,3A,Sullivan,FALLSBURGH, 5 - Brush - Continuous but Light,5.0,0.4,41.68054,-74.56853000000002,Private Property,"Seeley,Jason J",911 Dispatch,779.0,2180.0,660.0,0.0,5,2008,04,24
Debris Burning,04/24/2008,04/24/2008,04/24/2008,3,3A,Sullivan,MAMAKATING, 7 - Brush - Understory,5.0,1.6,41.57579000000001,-74.56730999999998,Private Property,"Seeley,Jason J",911 Dispatch,780.0,2180.0,653.0,0.0,7,2008,04,24
Miscellaneous,04/24/2008,04/24/2008,04/29/2008,3,3B,Rockland,STONY POINT, 9 - Timber - Medium Hardwood Litter,3.0,7.1,41.28785,-74.01515,OPR&HP (State Parks),"Prunoske,James ",Landowner,1652.0,628.0,528.0,5.0,9,2008,04,24
Debris Burning,04/24/2008,04/24/2008,04/28/2008,4,4A,Columbia,COPAKE, 9 - Timber - Medium Hardwood Litter,5.0,18.3,42.17285,-73.5549,Private Property,"DiCintio,Chris A",911 Dispatch,973.0,619.0,521.0,4.0,9,2008,04,24
